Morningstar Category,Medalist_1,Medalist_2,Name_1,Name_2,3-year Rank_1,3-year Rank_2,Expense Ratio - Net_1,3 Year Sharpe Ratio_1,Standard Deviation_1,3 Yr_1,Beta_1,Manager Tenure_1,Inception Date_1,Assets (Millions)_1,Turnover Rates_1,Load (Y/N)_1,NTF_1,Expense Ratio - Net_2,3 Year Sharpe Ratio_2,Standard Deviation_2,3 Yr_2,Beta_2,Manager Tenure_2,Inception Date_2,Assets (Millions)_2,Turnover Rates_2,Load (Y/N)_2,NTF_2,interestingness
Global Real Estate,Negative,Neutral,Cohen & Steers International Realty Fund Class C (IRFCX),TCW Global Real Estate Fund Class N (TGRYX),94.0,51.0,0.02,-0.07,17.49,3.9,1.26,14 years,03/31/2005,274.19,98.0,Y,N,0.01,0.11,16.09,6.8,,11 years,11/28/2014,39.05,71.48,N,Y,9.051410952378571
Global Real Estate,Negative,Neutral,Invesco Global Real Estate Fund Class C (CGREX),Principal Global Real Estate Securities Fund Class A (POSAX),94.0,75.0,0.0219,-0.07,15.48,3.89,1.07,19 years,04/29/2005,114.2,130.0,Y,N,0.0135,0.05,15.5,5.85,0.99,18 years,10/01/2007,1588.81,27.5,Y,Y,9.041636530334632
Global Real Estate,Neutral,Neutral,Northern Multi-Manager Global Real Estate Fund (NMMGX),DWS RREEF Global Real Estate Securities Fund - Class Inst (RRGIX),89.0,28.0,0.0093999999999999,-0.02,15.6,4.78,1.15,3 years,11/19/2008,79.12,57.69,N,N,0.0095,0.17,14.84,7.59,1.03,19 years,07/03/2006,160.39,94.0,N,N,9.037055642835613
Global Real Estate,Silver,Negative,iShares Developed Real Estate Index Fund Investor A Shares (BARDX),PGIM Select Real Estate Fund- Class C (SRECX),39.0,20.0,0.0049,0.13,15.72,7.05,1.13,10 years,08/13/2015,265.39,20.0,N,Y,0.0206,0.19,15.1,7.85,0.95,11 years,08/01/2014,214.47,142.0,Y,N,9.030380133819605
Global Real Estate,Silver,Negative,iShares Developed Real Estate Index Fund Investor A Shares (BARDX),Brookfield Global Listed Real Estate Fund Class A (BLRAX),39.0,68.0,0.0049,0.13,15.72,7.05,1.13,10 years,08/13/2015,265.39,20.0,N,Y,0.012,0.07,15.42,6.07,0.98,4 years,11/30/2011,117.36,166.0,Y,Y,9.0254268274025
Global Real Estate,Neutral,Neutral,Easterly Global Real Estate Fund Class I (JARIX),PGIM Select Real Estate Fund- Class A (SREAX),90.0,11.0,0.0105,-0.02,16.77,4.63,1.02,16 years,10/26/2009,218.39,186.0,N,N,0.0131,0.24,15.09,8.65,0.95,11 years,08/01/2014,214.47,142.0,Y,N,9.022358473851929
Global Real Estate,Negative,Neutral,Invesco Global Real Estate Income Fund Class A (ASRAX),PGIM Global Real Estate Fund- Class A (PURAX),82.0,28.0,0.0126,0.02,12.81,5.25,0.88,13 years,05/31/2002,397.35,41.0,Y,Y,0.0137,0.16,15.39,7.55,0.94,19 years,05/05/1998,938.76,95.0,Y,N,9.017054736293497
Global Real Estate,Negative,Neutral,Invesco Global Real Estate Income Fund Class A (ASRAX),Virtus Duff & Phelps Global Real Estate Securities Fund Class A (VGSAX),82.0,30.0,0.0126,0.02,12.81,5.25,0.88,13 years,05/31/2002,397.35,41.0,Y,Y,0.0124,0.16,15.59,7.48,1.1,17 years,03/02/2009,397.74,18.0,Y,Y,9.012427439760266
Global Real Estate,Negative,Neutral,Invesco Global Real Estate Income Fund Class A (ASRAX),TCW Global Real Estate Fund Class I (TGREX),82.0,47.0,0.0126,0.02,12.81,5.25,0.88,13 years,05/31/2002,397.35,41.0,Y,Y,0.009,0.12,16.1,6.89,,11 years,11/28/2014,39.05,71.48,N,N,8.992629397450493
Global Real Estate,Gold,Neutral,Schwab Fundamental Global Real Estate Index Fund (SFREX),Principal Global Real Estate Securities Fund Institutional Class (POSIX),67.0,63.0,0.0039,0.06,16.62,6.08,1.09,9 years,10/22/2014,71.55,26.0,N,N,0.0095,0.08,15.42,6.29,0.98,18 years,10/01/2007,1588.81,27.5,N,N,8.986784288272696
Global Real Estate,Negative,Neutral,Invesco Global Real Estate Income Fund Class A (ASRAX),GuideStone Funds Global Real Estate Securities Fund Investor Class (GREZX),82.0,31.0,0.0126,0.02,12.81,5.25,0.88,13 years,05/31/2002,397.35,41.0,Y,Y,0.0123,0.16,14.96,7.44,1.06,12 years,12/29/2006,311.82,153.0,N,N,8.982414100386102
Global Real Estate,Neutral,Neutral,MFS Global Real Estate Fund Class A (MGLAX),BNY Mellon Developed Markets Real Estate Securities Fund - Class A (DRLAX),96.0,15.0,0.0118,-0.09,16.26,3.57,1.2,17 years,03/11/2009,2178.92,35.0,Y,Y,0.013,0.2,16.01,8.19,1.11,19 years,12/29/2006,302.23,39.68,Y,Y,8.981688049341269
Global Real Estate,Negative,Neutral,Invesco Global Real Estate Income Fund Class A (ASRAX),PGIM Global Real Estate Fund- Class R2 (PUREX),82.0,27.0,0.0126,0.02,12.81,5.25,0.88,13 years,05/31/2002,397.35,41.0,Y,Y,0.013,0.17,15.39,7.62,0.94,19 years,05/05/1998,938.76,95.0,N,N,8.97650748835921
Global Real Estate,Silver,Neutral,Northern Global Real Estate Index Fund (NGREX),American Century Global Real Estate Fund Investor Class (ARYVX),27.0,10.0,0.0046999999999999,0.17,15.09,7.65,1.06,2 years,07/26/2006,703.03,8.98,N,N,0.0112,0.24,14.8,8.65,1.07,15 years,04/29/2011,784.45,137.0,N,Y,8.974127349014973
Global Real Estate,Gold,Negative,"Cohen & Steers Global Realty Shares, Inc. Class I (CSSPX)",PGIM Global Real Estate Fund- Class C (PURCX),35.0,55.0,0.009,0.14,15.74,7.29,1.11,14 years,05/08/1997,2115.76,67.0,N,N,0.0231,0.1,15.33,6.62,0.93,19 years,05/05/1998,938.76,95.0,Y,N,8.968954321996604
Global Real Estate,Neutral,Neutral,Cohen & Steers International Realty Fund Class A (IRFAX),DWS RREEF Global Real Estate Securities Fund - Class C (RRGCX),91.0,56.0,0.0135,-0.03,17.5,4.54,1.26,14 years,03/31/2005,274.19,98.0,Y,Y,0.0195,0.1,14.83,6.46,1.03,19 years,07/03/2006,160.39,94.0,Y,N,8.966129202834741
Global Real Estate,Neutral,Negative,PGIM Select Real Estate Fund- Class A (SREAX),Invesco Global Real Estate Fund Class A (AGREX),11.0,90.0,0.0131,0.24,15.09,8.65,0.95,11 years,08/01/2014,214.47,142.0,Y,N,0.0144,-0.02,15.47,4.65,1.07,19 years,04/29/2005,114.2,130.0,Y,Y,8.959488726059986
Global Real Estate,Silver,Neutral,iShares Developed Real Estate Index Fund Institutional Shares (BIRDX),DWS RREEF Global Real Estate Securities Fund - Class A (RRGAX),35.0,38.0,0.0022,0.15,15.71,7.35,1.13,10 years,08/13/2015,265.39,20.0,N,N,0.012,0.15,14.83,7.28,1.03,19 years,07/03/2006,160.39,94.0,Y,Y,8.957275459359664
Global Real Estate,Neutral,Negative,Fidelity International Real Estate Fund (FIREX),PGIM Global Real Estate Fund- Class C (PURCX),85.0,55.0,0.0088,0.0,14.7,4.97,1.05,16 years,09/08/2004,345.79,77.0,N,Y,0.0231,0.1,15.33,6.62,0.93,19 years,05/05/1998,938.76,95.0,Y,N,8.955894056778973
Global Real Estate,Neutral,Neutral,PGIM Select Real Estate Fund- Class Z (SREZX),PGIM Global Real Estate Fund- Class A (PURAX),7.0,28.0,0.0106,0.26,15.15,8.94,0.95,11 years,08/01/2014,214.47,142.0,N,N,0.0137,0.16,15.39,7.55,0.94,19 years,05/05/1998,938.76,95.0,Y,N,8.943716929799885
Global Real Estate,Negative,Negative,PGIM Select Real Estate Fund- Class C (SRECX),Invesco Global Real Estate Fund Class C (CGREX),20.0,94.0,0.0206,0.19,15.1,7.85,0.95,11 years,08/01/2014,214.47,142.0,Y,N,0.0219,-0.07,15.48,3.89,1.07,19 years,04/29/2005,114.2,130.0,Y,N,8.943199871281607
Global Real Estate,Negative,Negative,American Century Global Real Estate Fund C Class (ARYTX),Natixis Funds Trust IV AEW Global Focused Real Estate Fund Class A (NRFAX),28.0,29.0,0.0212,0.17,14.78,7.59,1.07,15 years,04/29/2011,784.45,137.0,Y,N,0.0115,0.16,15.91,7.54,1.11,9 years,08/31/2000,33.43,81.0,Y,Y,8.941703808925755
Global Real Estate,Neutral,Negative,Third Avenue International Real Estate Value Fund Founders Shares (REIFX),American Century Global Real Estate Fund A Class (ARYMX),6.0,15.0,0.0101,0.37,14.91,10.48,0.88,12 years,03/19/2014,76.44,19.0,N,N,0.0137,0.23,14.77,8.4,1.06,15 years,04/29/2011,784.45,137.0,Y,N,8.940328781164846
Global Real Estate,Negative,Neutral,Brookfield Global Listed Real Estate Fund Class A (BLRAX),Fidelity International Real Estate Fund (FIREX),68.0,85.0,0.012,0.07,15.42,6.07,0.98,4 years,11/30/2011,117.36,166.0,Y,Y,0.0088,0.0,14.7,4.97,1.05,16 years,09/08/2004,345.79,77.0,N,Y,8.939785896605622
Global Real Estate,Bronze,Neutral,Janus Henderson Global Real Estate Fund Class T (JERTX),"Cohen & Steers Global Realty Shares, Inc. Class C (CSFCX)",80.0,64.0,0.0087,0.03,15.5,5.49,1.08,9 years,11/28/2007,322.34,61.0,N,Y,0.0184,0.08,15.73,6.28,1.11,14 years,05/08/1997,2115.76,67.0,Y,N,8.935475547893462
Global Real Estate,Negative,Negative,PGIM Select Real Estate Fund- Class C (SRECX),Natixis Funds Trust IV AEW Global Focused Real Estate Fund Class Y (NRFYX),20.0,21.0,0.0206,0.19,15.1,7.85,0.95,11 years,08/01/2014,214.47,142.0,Y,N,0.009,0.18,15.87,7.81,1.1,9 years,08/31/2000,33.43,81.0,N,N,8.925720764980793
Global Real Estate,Neutral,Neutral,Northern Multi-Manager Global Real Estate Fund (NMMGX),GuideStone Funds Global Real Estate Securities Fund Investor Class (GREZX),89.0,31.0,0.0093999999999999,-0.02,15.6,4.78,1.15,3 years,11/19/2008,79.12,57.69,N,N,0.0123,0.16,14.96,7.44,1.06,12 years,12/29/2006,311.82,153.0,N,N,8.917934097692813
Global Real Estate,Neutral,Neutral,Northern Multi-Manager Global Real Estate Fund (NMMGX),BNY Mellon Developed Markets Real Estate Securities Fund - Class A (DRLAX),89.0,15.0,0.0093999999999999,-0.02,15.6,4.78,1.15,3 years,11/19/2008,79.12,57.69,N,N,0.013,0.2,16.01,8.19,1.11,19 years,12/29/2006,302.23,39.68,Y,Y,8.917057756343548
Global Real Estate,Negative,Neutral,Invesco Global Real Estate Income Fund Class A (ASRAX),Principal Global Real Estate Securities Fund Institutional Class (POSIX),82.0,63.0,0.0126,0.02,12.81,5.25,0.88,13 years,05/31/2002,397.35,41.0,Y,Y,0.0095,0.08,15.42,6.29,0.98,18 years,10/01/2007,1588.81,27.5,N,N,8.889795159031248
Global Real Estate,Negative,Neutral,PGIM Select Real Estate Fund- Class C (SRECX),Virtus Duff & Phelps Global Real Estate Securities Fund Class A (VGSAX),20.0,30.0,0.0206,0.19,15.1,7.85,0.95,11 years,08/01/2014,214.47,142.0,Y,N,0.0124,0.16,15.59,7.48,1.1,17 years,03/02/2009,397.74,18.0,Y,Y,8.87463740280009
Global Real Estate,Neutral,Neutral,Virtus Duff & Phelps Global Real Estate Securities Fund Class A (VGSAX),"Cohen & Steers Global Realty Shares, Inc. Class C (CSFCX)",30.0,64.0,0.0124,0.16,15.59,7.48,1.1,17 years,03/02/2009,397.74,18.0,Y,Y,0.0184,0.08,15.73,6.28,1.11,14 years,05/08/1997,2115.76,67.0,Y,N,8.873570437791756
Global Real Estate,Bronze,Neutral,"Cohen & Steers Global Realty Shares, Inc. Class A (CSFAX)",DWS RREEF Global Real Estate Securities Fund - Class Inst (RRGIX),40.0,28.0,0.0118999999999999,0.12,15.73,6.98,1.11,14 years,05/08/1997,2115.76,67.0,Y,Y,0.0095,0.17,14.84,7.59,1.03,19 years,07/03/2006,160.39,94.0,N,N,8.869714424544565
Global Real Estate,Silver,Neutral,Northern Global Real Estate Index Fund (NGREX),Fidelity International Real Estate Fund (FIREX),27.0,85.0,0.0046999999999999,0.17,15.09,7.65,1.06,2 years,07/26/2006,703.03,8.98,N,N,0.0088,0.0,14.7,4.97,1.05,16 years,09/08/2004,345.79,77.0,N,Y,8.868145343415776
Global Real Estate,Negative,Neutral,PGIM Select Real Estate Fund- Class C (SRECX),PGIM Global Real Estate Fund- Class R2 (PUREX),20.0,27.0,0.0206,0.19,15.1,7.85,0.95,11 years,08/01/2014,214.47,142.0,Y,N,0.013,0.17,15.39,7.62,0.94,19 years,05/05/1998,938.76,95.0,N,N,8.849545843216752
Global Real Estate,Gold,Neutral,"Cohen & Steers Global Realty Shares, Inc. Class I (CSSPX)",BNY Mellon Developed Markets Real Estate Securities Fund - Class C (DGBCX),35.0,34.0,0.009,0.14,15.74,7.29,1.11,14 years,05/08/1997,2115.76,67.0,N,N,0.0204999999999999,0.15,15.97,7.38,1.1,19 years,12/29/2006,302.23,39.68,Y,N,8.848510047799682
Global Real Estate,Negative,Neutral,American Century Global Real Estate Fund A Class (ARYMX),Principal Global Real Estate Securities Fund Institutional Class (POSIX),15.0,63.0,0.0137,0.23,14.77,8.4,1.06,15 years,04/29/2011,784.45,137.0,Y,N,0.0095,0.08,15.42,6.29,0.98,18 years,10/01/2007,1588.81,27.5,N,N,8.824178755205372
Global Real Estate,Silver,Negative,iShares Developed Real Estate Index Fund Institutional Shares (BIRDX),Natixis Funds Trust IV AEW Global Focused Real Estate Fund Class C (NRCFX),35.0,53.0,0.0022,0.15,15.71,7.35,1.13,10 years,08/13/2015,265.39,20.0,N,N,0.019,0.11,15.93,6.72,1.11,9 years,08/31/2000,33.43,81.0,Y,N,8.810385921384077
Global Real Estate,Neutral,Neutral,Cohen & Steers International Realty Fund Class A (IRFAX),GuideStone Funds Global Real Estate Securities Fund Investor Class (GREZX),91.0,31.0,0.0135,-0.03,17.5,4.54,1.26,14 years,03/31/2005,274.19,98.0,Y,Y,0.0123,0.16,14.96,7.44,1.06,12 years,12/29/2006,311.82,153.0,N,N,8.809826999917897
Global Real Estate,Negative,Neutral,PGIM Select Real Estate Fund- Class C (SRECX),PGIM Global Real Estate Fund- Class A (PURAX),20.0,28.0,0.0206,0.19,15.1,7.85,0.95,11 years,08/01/2014,214.47,142.0,Y,N,0.0137,0.16,15.39,7.55,0.94,19 years,05/05/1998,938.76,95.0,Y,N,8.808998595282466
Global Real Estate,Negative,Negative,PGIM Select Real Estate Fund- Class C (SRECX),Natixis Funds Trust IV AEW Global Focused Real Estate Fund Class A (NRFAX),20.0,29.0,0.0206,0.19,15.1,7.85,0.95,11 years,08/01/2014,214.47,142.0,Y,N,0.0115,0.16,15.91,7.54,1.11,9 years,08/31/2000,33.43,81.0,Y,Y,8.802764088459925
Global Real Estate,Negative,Bronze,Invesco Global Real Estate Fund Class C (CGREX),Janus Henderson Global Real Estate Fund Class I (JERIX),94.0,79.0,0.0219,-0.07,15.48,3.89,1.07,19 years,04/29/2005,114.2,130.0,Y,N,0.0073,0.04,15.46,5.64,1.07,9 years,11/28/2007,322.34,61.0,N,N,8.791993541324363
Global Real Estate,Gold,Neutral,Schwab Fundamental Global Real Estate Index Fund (SFREX),Fidelity International Real Estate Fund (FIREX),67.0,85.0,0.0039,0.06,16.62,6.08,1.09,9 years,10/22/2014,71.55,26.0,N,N,0.0088,0.0,14.7,4.97,1.05,16 years,09/08/2004,345.79,77.0,N,Y,8.788747478957504
Global Real Estate,Negative,Negative,PGIM Select Real Estate Fund- Class C (SRECX),PGIM Global Real Estate Fund- Class C (PURCX),20.0,55.0,0.0206,0.19,15.1,7.85,0.95,11 years,08/01/2014,214.47,142.0,Y,N,0.0231,0.1,15.33,6.62,0.93,19 years,05/05/1998,938.76,95.0,Y,N,8.766774816464787
Global Real Estate,Silver,Neutral,iShares Developed Real Estate Index Fund Investor A Shares (BARDX),Fidelity International Real Estate Fund (FIREX),39.0,85.0,0.0049,0.13,15.72,7.05,1.13,10 years,08/13/2015,265.39,20.0,N,Y,0.0088,0.0,14.7,4.97,1.05,16 years,09/08/2004,345.79,77.0,N,Y,8.7665061091576
Global Real Estate,Neutral,Negative,Cohen & Steers International Realty Fund Class I (IRFIX),Natixis Funds Trust IV AEW Global Focused Real Estate Fund Class C (NRCFX),86.0,53.0,0.01,-0.01,17.48,4.93,1.26,14 years,03/31/2005,274.19,98.0,N,N,0.019,0.11,15.93,6.72,1.11,9 years,08/31/2000,33.43,81.0,Y,N,8.764458657125058
Global Real Estate,Neutral,Negative,Cohen & Steers International Realty Fund Class A (IRFAX),Easterly Global Real Estate Fund Class C (JACRX),91.0,100.0,0.0135,-0.03,17.5,4.54,1.26,14 years,03/31/2005,274.19,98.0,Y,Y,0.0225,-0.1,16.72,3.39,1.02,16 years,10/26/2009,218.39,186.0,Y,N,8.754698664131322
Global Real Estate,Neutral,Neutral,Cohen & Steers International Realty Fund Class A (IRFAX),DWS RREEF Global Real Estate Securities Fund - Class A (RRGAX),91.0,38.0,0.0135,-0.03,17.5,4.54,1.26,14 years,03/31/2005,274.19,98.0,Y,Y,0.012,0.15,14.83,7.28,1.03,19 years,07/03/2006,160.39,94.0,Y,Y,8.754591062411059
Global Real Estate,Neutral,Neutral,PGIM Select Real Estate Fund- Class Z (SREZX),BNY Mellon Developed Markets Real Estate Securities Fund - Class A (DRLAX),7.0,15.0,0.0106,0.26,15.15,8.94,0.95,11 years,08/01/2014,214.47,142.0,N,N,0.013,0.2,16.01,8.19,1.11,19 years,12/29/2006,302.23,39.68,Y,Y,8.751210194746402
Global Real Estate,Neutral,Negative,Cohen & Steers International Realty Fund Class I (IRFIX),Invesco Global Real Estate Fund Class C (CGREX),86.0,94.0,0.01,-0.01,17.48,4.93,1.26,14 years,03/31/2005,274.19,98.0,N,N,0.0219,-0.07,15.48,3.89,1.07,19 years,04/29/2005,114.2,130.0,Y,N,8.747840485221202
Global Real Estate,Neutral,Neutral,Cohen & Steers International Realty Fund Class I (IRFIX),BNY Mellon Developed Markets Real Estate Securities Fund - Class A (DRLAX),86.0,15.0,0.01,-0.01,17.48,4.93,1.26,14 years,03/31/2005,274.19,98.0,N,N,0.013,0.2,16.01,8.19,1.11,19 years,12/29/2006,302.23,39.68,Y,Y,8.734041333529486
Global Real Estate,Neutral,Neutral,TCW Global Real Estate Fund Class I (TGREX),PGIM Global Real Estate Fund- Class A (PURAX),47.0,28.0,0.009,0.12,16.1,6.89,,11 years,11/28/2014,39.05,71.48,N,N,0.0137,0.16,15.39,7.55,0.94,19 years,05/05/1998,938.76,95.0,Y,N,8.730045106798224
Global Real Estate,Neutral,Neutral,American Century Global Real Estate Fund Investor Class (ARYVX),BNY Mellon Developed Markets Real Estate Securities Fund - Class C (DGBCX),10.0,34.0,0.0112,0.24,14.8,8.65,1.07,15 years,04/29/2011,784.45,137.0,N,Y,0.0204999999999999,0.15,15.97,7.38,1.1,19 years,12/29/2006,302.23,39.68,Y,N,8.72904213081638
Global Real Estate,Neutral,Neutral,Easterly Global Real Estate Fund Class I (JARIX),PGIM Select Real Estate Fund- Class Z (SREZX),90.0,7.0,0.0105,-0.02,16.77,4.63,1.02,16 years,10/26/2009,218.39,186.0,N,N,0.0106,0.26,15.15,8.94,0.95,11 years,08/01/2014,214.47,142.0,N,N,8.726932496016616
Global Real Estate,Negative,Neutral,Invesco Global Real Estate Fund Class C (CGREX),BNY Mellon Developed Markets Real Estate Securities Fund - Class A (DRLAX),94.0,15.0,0.0219,-0.07,15.48,3.89,1.07,19 years,04/29/2005,114.2,130.0,Y,N,0.013,0.2,16.01,8.19,1.11,19 years,12/29/2006,302.23,39.68,Y,Y,8.724113313337295
Global Real Estate,Neutral,Neutral,Principal Global Real Estate Securities Fund Class A (POSAX),GuideStone Funds Global Real Estate Securities Fund Investor Class (GREZX),75.0,31.0,0.0135,0.05,15.5,5.85,0.99,18 years,10/01/2007,1588.81,27.5,Y,Y,0.0123,0.16,14.96,7.44,1.06,12 years,12/29/2006,311.82,153.0,N,N,8.717477183945018
Global Real Estate,Neutral,Neutral,MFS Global Real Estate Fund Class I (MGLIX),"Cohen & Steers Global Realty Shares, Inc. Class C (CSFCX)",95.0,64.0,0.0093,-0.07,16.26,3.84,1.2,17 years,03/11/2009,2178.92,35.0,N,N,0.0184,0.08,15.73,6.28,1.11,14 years,05/08/1997,2115.76,67.0,Y,N,8.714732029550099
Global Real Estate,Neutral,Neutral,Cohen & Steers International Realty Fund Class I (IRFIX),GuideStone Funds Global Real Estate Securities Fund Investor Class (GREZX),86.0,31.0,0.01,-0.01,17.48,4.93,1.26,14 years,03/31/2005,274.19,98.0,N,N,0.0123,0.16,14.96,7.44,1.06,12 years,12/29/2006,311.82,153.0,N,N,8.710657653919581
Global Real Estate,Neutral,Neutral,PGIM Select Real Estate Fund- Class Z (SREZX),PGIM Global Real Estate Fund- Class R2 (PUREX),7.0,27.0,0.0106,0.26,15.15,8.94,0.95,11 years,08/01/2014,214.47,142.0,N,N,0.013,0.17,15.39,7.62,0.94,19 years,05/05/1998,938.76,95.0,N,N,8.703989855576648
Global Real Estate,Gold,Neutral,"Cohen & Steers Global Realty Shares, Inc. Class I (CSSPX)",GuideStone Funds Global Real Estate Securities Fund Investor Class (GREZX),35.0,31.0,0.009,0.14,15.74,7.29,1.11,14 years,05/08/1997,2115.76,67.0,N,N,0.0123,0.16,14.96,7.44,1.06,12 years,12/29/2006,311.82,153.0,N,N,8.695919465119
Global Real Estate,Neutral,Neutral,TCW Global Real Estate Fund Class I (TGREX),PGIM Global Real Estate Fund- Class R2 (PUREX),47.0,27.0,0.009,0.12,16.1,6.89,,11 years,11/28/2014,39.05,71.48,N,N,0.013,0.17,15.39,7.62,0.94,19 years,05/05/1998,938.76,95.0,N,N,8.689497858863938
Global Real Estate,Neutral,Neutral,PGIM Global Real Estate Fund- Class Z (PURZX),"Cohen & Steers Global Realty Shares, Inc. Class C (CSFCX)",19.0,64.0,0.0096,0.19,15.38,7.99,0.94,19 years,05/05/1998,938.76,95.0,N,N,0.0184,0.08,15.73,6.28,1.11,14 years,05/08/1997,2115.76,67.0,Y,N,8.685202665561489
Global Real Estate,Neutral,Neutral,Third Avenue International Real Estate Value Fund Founders Shares (REIFX),DWS RREEF Global Real Estate Securities Fund - Class Inst (RRGIX),6.0,28.0,0.0101,0.37,14.91,10.48,0.88,12 years,03/19/2014,76.44,19.0,N,N,0.0095,0.17,14.84,7.59,1.03,19 years,07/03/2006,160.39,94.0,N,N,8.684469406775708
Global Real Estate,Negative,Neutral,Invesco Global Real Estate Income Fund Class A (ASRAX),TCW Global Real Estate Fund Class N (TGRYX),82.0,51.0,0.0126,0.02,12.81,5.25,0.88,13 years,05/31/2002,397.35,41.0,Y,Y,0.01,0.11,16.09,6.8,,11 years,11/28/2014,39.05,71.48,N,Y,8.675499254427326
Global Real Estate,Neutral,Neutral,Cohen & Steers International Realty Fund Class I (IRFIX),MFS Global Real Estate Fund Class A (MGLAX),86.0,96.0,0.01,-0.01,17.48,4.93,1.26,14 years,03/31/2005,274.19,98.0,N,N,0.0118,-0.09,16.26,3.57,1.2,17 years,03/11/2009,2178.92,35.0,Y,Y,8.673746360331153
Global Real Estate,Neutral,Bronze,PGIM Select Real Estate Fund- Class A (SREAX),Janus Henderson Global Real Estate Fund Class I (JERIX),11.0,79.0,0.0131,0.24,15.09,8.65,0.95,11 years,08/01/2014,214.47,142.0,Y,N,0.0073,0.04,15.46,5.64,1.07,9 years,11/28/2007,322.34,61.0,N,N,8.672942002345703
Global Real Estate,Negative,Neutral,Invesco Global Real Estate Income Fund Class C (ASRCX),DWS RREEF Global Real Estate Securities Fund - Class C (RRGCX),91.0,56.0,0.0200999999999999,-0.04,12.82,4.49,0.87,13 years,05/31/2002,400.24,41.0,Y,N,0.0195,0.1,14.83,6.46,1.03,19 years,07/03/2006,160.39,94.0,Y,N,8.670496272286274
Global Real Estate,Neutral,Neutral,Principal Global Real Estate Securities Fund Institutional Class (POSIX),GuideStone Funds Global Real Estate Securities Fund Investor Class (GREZX),63.0,31.0,0.0095,0.08,15.42,6.29,0.98,18 years,10/01/2007,1588.81,27.5,N,N,0.0123,0.16,14.96,7.44,1.06,12 years,12/29/2006,311.82,153.0,N,N,8.660376323633859
Global Real Estate,Silver,Neutral,iShares Developed Real Estate Index Fund Institutional Shares (BIRDX),DWS RREEF Global Real Estate Securities Fund - Class Inst (RRGIX),35.0,28.0,0.0022,0.15,15.71,7.35,1.13,10 years,08/13/2015,265.39,20.0,N,N,0.0095,0.17,14.84,7.59,1.03,19 years,07/03/2006,160.39,94.0,N,N,8.658982207645554
Global Real Estate,Neutral,Bronze,PGIM Select Real Estate Fund- Class A (SREAX),Janus Henderson Global Real Estate Fund Class T (JERTX),11.0,80.0,0.0131,0.24,15.09,8.65,0.95,11 years,08/01/2014,214.47,142.0,Y,N,0.0087,0.03,15.5,5.49,1.08,9 years,11/28/2007,322.34,61.0,N,Y,8.650249883045436
Global Real Estate,Negative,Bronze,American Century Global Real Estate Fund A Class (ARYMX),Janus Henderson Global Real Estate Fund Class I (JERIX),15.0,79.0,0.0137,0.23,14.77,8.4,1.06,15 years,04/29/2011,784.45,137.0,Y,N,0.0073,0.04,15.46,5.64,1.07,9 years,11/28/2007,322.34,61.0,N,N,8.648767442096942
Global Real Estate,Neutral,Neutral,Easterly Global Real Estate Fund Class I (JARIX),Virtus Duff & Phelps Global Real Estate Securities Fund Class A (VGSAX),90.0,30.0,0.0105,-0.02,16.77,4.63,1.02,16 years,10/26/2009,218.39,186.0,N,N,0.0124,0.16,15.59,7.48,1.1,17 years,03/02/2009,397.74,18.0,Y,Y,8.648322438869645
Global Real Estate,Negative,Negative,Brookfield Global Listed Real Estate Fund Class A (BLRAX),American Century Global Real Estate Fund C Class (ARYTX),68.0,28.0,0.012,0.07,15.42,6.07,0.98,4 years,11/30/2011,117.36,166.0,Y,Y,0.0212,0.17,14.78,7.59,1.07,15 years,04/29/2011,784.45,137.0,Y,N,8.648136429417546
Global Real Estate,Negative,Neutral,American Century Global Real Estate Fund C Class (ARYTX),PGIM Global Real Estate Fund- Class Z (PURZX),28.0,19.0,0.0212,0.17,14.78,7.59,1.07,15 years,04/29/2011,784.45,137.0,Y,N,0.0096,0.19,15.38,7.99,0.94,19 years,05/05/1998,938.76,95.0,N,N,8.645102270036082
Global Real Estate,Silver,Neutral,iShares Developed Real Estate Index Fund Investor A Shares (BARDX),DWS RREEF Global Real Estate Securities Fund - Class A (RRGAX),39.0,38.0,0.0049,0.13,15.72,7.05,1.13,10 years,08/13/2015,265.39,20.0,N,Y,0.012,0.15,14.83,7.28,1.03,19 years,07/03/2006,160.39,94.0,Y,Y,8.633270521253852
Global Real Estate,Neutral,Neutral,TCW Global Real Estate Fund Class N (TGRYX),PGIM Global Real Estate Fund- Class A (PURAX),51.0,28.0,0.01,0.11,16.09,6.8,,11 years,11/28/2014,39.05,71.48,N,Y,0.0137,0.16,15.39,7.55,0.94,19 years,05/05/1998,938.76,95.0,Y,N,8.628383644842389
Global Real Estate,Gold,Neutral,Schwab Fundamental Global Real Estate Index Fund (SFREX),BNY Mellon Developed Markets Real Estate Securities Fund - Class A (DRLAX),67.0,15.0,0.0039,0.06,16.62,6.08,1.09,9 years,10/22/2014,71.55,26.0,N,N,0.013,0.2,16.01,8.19,1.11,19 years,12/29/2006,302.23,39.68,Y,Y,8.626579367859145
Global Real Estate,Negative,Bronze,American Century Global Real Estate Fund A Class (ARYMX),Janus Henderson Global Real Estate Fund Class T (JERTX),15.0,80.0,0.0137,0.23,14.77,8.4,1.06,15 years,04/29/2011,784.45,137.0,Y,N,0.0087,0.03,15.5,5.49,1.08,9 years,11/28/2007,322.34,61.0,N,Y,8.626075322796675
